C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,173","0,005","0,636","0,0321","0,0244","0,0646","0,0805","0,0031","0,0762",St 48-TH
"0,119","0,005","0,645","0,0274","0,0185","0,064","0,0747","0,0033","0,0732",St 48-TH
"0,22","0,01","0,65","0,049","0,024","0,08","0,09","0,001","0,08",St 48-TH
"0,206333333333333","0,257666666666667","0,494","0,0265","0,0444","0,0564333333333333","0,187333333333333","0,0023","0,199666666666667",St 48
"0,0237","0,005","0,356","0,00386666666666667","0,0127666666666667","0,005","0,0354333333333333","0,002","0,0695333333333333",St 37
"0,224","0,267666666666667","0,529666666666667","0,0368666666666667","0,0496333333333333","0,0119333333333333","0,0473333333333333","0,002","0,137",St 48
"0,1846","1,056","0,5958","0,01406","0,0443","0,0143","0,05162","0,00238","0,1932",St Si
"0,264","0,190333333333333","0,631666666666667","0,0184","0,0285333333333333","0,0307666666666667","0,0413666666666667","0,0055","0,121666666666667",St 48
"0,252666666666667","0,249333333333333","0,506","0,0208666666666667","0,0333333333333333","0,0122","0,0363666666666667","0,0036","0,103",St 48
"0,195","0,207","0,692333333333333","0,0495","0,0365","0,0153333333333333","0,0402666666666667","0,00203333333333333","0,138",St 48
"0,236","0,253","0,604666666666667","0,0188","0,0427","0,009","0,0334666666666667","0,002","0,117333333333333",St 48
"0,190333333333333","0,005","0,569","0,0257333333333333","0,0205","0,00643333333333333","0,0233666666666667","0,003","0,0506",St 48-TH
"0,245","0,005","0,675","0,0471","0,0616","0,005","0,0261","0,0126","0,0598",St 48-TH
"0,19","0,01","0,62","0,045","0,031","0,01","0,03","0,028","0,05",St 48-TH
"0,0978333333333333","0,005","0,386333333333333","0,00386666666666667","0,0149","0,00956666666666667","0,0424666666666667","0,002","0,134666666666667",St 37
"0,0786","0,149","0,565","0,0037","0,0327","0,005","0,0387","0,03","0,124",St 37
"0,19","0,15","0,57","0,013","0,032","0,01","0,04","0,025","0,12",St 37
"0,429","0,291","0,57","0,0093","0,0296","0,005","0,0643","0,0034","0,108",St 48
"0,102","0,252","0,619","0,0104","0,0391","0,005","0,0339","0,0031","0,124",St 48
"0,386","0,311","0,67","0,0184","0,0546","0,005","0,0239","0,0036","0,127",St 48
"0,246","0,276","0,709","0,023","0,0416","0,005","0,0274","0,0075","0,0993",St 48
"0,177","0,989","0,52","0,0268","0,0391","0,005","0,0267","0,0156","0,112",St Si
"0,246","0,328","0,722","0,0259","0,0543","0,0301","0,0496","0,002","0,126",St 48
"0,262","0,372","0,649","0,0223","0,0378","0,0062","0,0355","0,0037","0,144",St 48
"0,259","0,211","0,703","0,0358","0,0371","0,0429","0,0594","0,0023","0,171",St 48
"0,253","0,214","0,588","0,0158","0,0414","0,0499","0,062","0,0049","0,122",St 48
"0,236","0,316","0,674","0,0256","0,0619","0,0282","0,0512","0,002","0,119",St 48
"0,181","0,005","0,503","0,0456","0,0414","0,0222","0,0362","0,0032","0,074",St 48-TH
"0,291","0,0108","0,592","0,027","0,053","0,005","0,0279","0,0121","0,0852",St 48-TH
"0,144","0,308","0,605","0,0385","0,0507","0,0079","0,0384","0,0023","0,143",St 48
"0,356","0,227","0,706","0,0385","0,0525","0,0435","0,0589","0,0109","0,167",St 48
"0,159","0,354","0,584","0,0134","0,0239","0,0059","0,0376","0,0022","0,135",St 48
"0,317","0,213","0,657","0,0352","0,0392","0,042","0,0582","0,0024","0,161",St 48
"0,28","0,216","0,587","0,0148","0,0517","0,051","0,0653","0,003","0,122",St 48
"0,258","0,304","0,688","0,0268","0,0481","0,0287","0,0507","0,002","0,123",St 48
"0,104","0,005","0,318","0,0271","0,0252","0,0118","0,0322","0,0045","0,261",St 48-TH
"0,21","0,01","0,5","0,05","0,04","0,02","0,04","0,003","0,07",St 48-TH
"0,0918","0,005","0,296","0,0245","0,0176","0,0104","0,0337","0,002","0,242",St 48-TH
"0,2","0,01","0,54","0,073","0,046","0,04","0,04","0,001","0,08",St 48-TH
"0,254","0,005","0,564","0,0203","0,0357","0,005","0,0276","0,0081","0,0823",St 48-TH
"0,25","0,371","0,649","0,0212","0,0513","0,0065","0,0372","0,0063","0,14",St 48
"0,252","0,212","0,627","0,0145","0,0413","0,0517","0,0622","0,003","0,128",St 48
"0,227","0,321","0,723","0,0283","0,0632","0,0302","0,0501","0,002","0,122",St 48
"0,305","0,005","0,614","0,0226","0,0463","0,005","0,0263","0,0081","0,0864",St 48-TH
"0,359","0,369","0,635","0,0237","0,0512","0,0063","0,0378","0,0097","0,139",St 48
"0,266","0,32","0,702","0,0244","0,0477","0,0285","0,0473","0,002","0,121",St 48
"0,223","0,31","0,69","0,0291","0,0479","0,029","0,0497","0,002","0,123",St 48
"0,356","0,0084","0,608","0,028","0,0382","0,005","0,03","0,0065","0,0867",St 48-TH
"0,158","0,133","0,514","0,0123","0,0614","0,005","0,0477","0,0224","0,112",St 37
"0,219","0,273","0,552","0,0079","0,039","0,005","0,0353","0,003","0,116",St 48
"0,131","0,258","0,707","0,0304","0,0639","0,0061","0,0476","0,0049","0,141",St 48
"0,197","0,3","0,548","0,0104","0,0385","0,005","0,0364","0,0034","0,118",St 48
"0,168","0,289","0,524","0,0098","0,0344","0,005","0,0379","0,0041","0,113",St 48
"0,209","0,287","0,666","0,0238","0,057","0,03","0,0644","0,002","0,14",St 48
"0,347","0,204","0,68","0,0167","0,0347","0,005","0,027","0,004","0,104",St 48
"0,217","0,263","0,624","0,0235","0,0479","0,005","0,0338","0,0032","0,118",St 48
"0,27","0,205","0,476","0,0473","0,0487","0,0101","0,0307","0,002","0,109",St 48
"0,302","0,226","0,608","0,0234","0,0402","0,005","0,0273","0,0061","0,0697",St 48
"0,23","0,248","0,713","0,0404","0,0453","0,005","0,0213","0,0069","0,0914",St 48
"0,248","0,223","0,683","0,0716","0,057","0,0276","0,0477","0,002","0,0978",St 48
"0,242","0,127","0,683","0,0303","0,0534","0,0051","0,0383","0,0156","0,101",St 48
"0,272","0,234","0,693","0,0595","0,0479","0,0267","0,0474","0,0023","0,0976",St 48
"0,284","0,133","0,678","0,0303","0,0545","0,005","0,038","0,0165","0,101",St 48
"0,254","0,135","0,694","0,0303","0,0631","0,005","0,0385","0,0191","0,0995",St 48
"0,336","0,211","0,625","0,0358","0,0526","0,005","0,0273","0,0029","0,071",St 48
"0,392","0,23","0,709","0,0294","0,0491","0,005","0,0229","0,0057","0,0756",St 48
"0,0819","0,005","0,476","0,0326","0,0274","0,0238","0,0948","0,002","0,193",St 37
"0,1","0,01","0,47","0,035","0,033","0,04","0,1","0,001","0,2",St 37
"0,197","0,129","0,672","0,0264","0,0426","0,0051","0,039","0,0158","0,0999",St 48
"0,199","0,129","0,672","0,0262","0,0419","0,0051","0,0388","0,0158","0,0999",St 48
"0,252","0,247","0,719","0,06","0,0552","0,0282","0,0487","0,0036","0,0982",St 48
"0,198","0,116","0,472","0,0179","0,0518","0,005","0,0456","0,0148","0,104",St 48
"0,168","0,221","0,55","0,0324","0,062","0,0054","0,0357","0,0027","0,113",St 48
"0,314","0,208","0,628","0,0294","0,0425","0,005","0,0274","0,0027","0,0711",St 48
"0,345","0,225","0,674","0,0243","0,0292","0,005","0,0229","0,0049","0,0727",St 48
"0,24","0,233","0,683","0,0375","0,0428","0,005","0,0424","0,002","0,122",St 48
"0,172","0,247","0,558","0,0229","0,0457","0,0233","0,0363","0,0033","0,111",St 48
"0,234","0,222","0,603","0,0239","0,047","0,005","0,0265","0,0028","0,0701",St 48
"0,286","0,244","0,692","0,0376","0,0426","0,005","0,0198","0,0042","0,0906",St 48
"0,257","0,271","0,632","0,0249","0,0428","0,005","0,0382","0,0045","0,117",St 48
"0,202","0,124","0,573","0,0165","0,0672","0,005","0,0356","0,0201","0,14",St 48
"0,341","0,207","0,653","0,0344","0,0499","0,005","0,0243","0,0023","0,0734",St 48
"0,278","0,247","0,707","0,0389","0,0416","0,005","0,0196","0,0042","0,0916",St 48
"0,0814","0,005","0,415","0,0251","0,0336","0,0112","0,063","0,0022","0,16",St 37
"0,13","0,01","0,44","0,045","0,074","0,02","0,07","0,001","0,18",St 37
"0,182","0,119","0,593","0,0154","0,0415","0,005","0,0342","0,0187","0,142",St 48
"0,223","0,288","0,658","0,0219","0,0528","0,005","0,0339","0,0037","0,123",St 48
"0,229","0,131","0,717","0,026","0,0425","0,0061","0,0379","0,0191","0,102",St 48
"0,163","0,119","0,573","0,0099","0,0324","0,005","0,0363","0,0201","0,139",St 48
"0,315","0,213","0,626","0,0239","0,0348","0,005","0,0261","0,0042","0,0698",St 48
"0,304","0,227","0,681","0,0193","0,0258","0,005","0,0271","0,0046","0,0724",St 48
"0,185666666666667","0,00746666666666667","0,560333333333333","0,0303777777777778","0,0330333333333333","0,0298333333333333","0,0362555555555556","0,002","0,118333333333333",St 48-TH
"0,275","0,0057","0,589","0,0308","0,0322","0,0215","0,0422","0,002","0,127",St 48-TH
"0,298","0,0073","0,597","0,0303","0,0321","0,0218","0,0417","0,0022","0,127",St 48-TH
"0,29","0,01","0,46","0,02","0,055","0,01","0,06","0,004","0,14",St 48-TH
"0,2262","0,233","0,5484","0,02518","0,04764","0,03694","0,032","0,002","0,112",St 48
"0,182","0,279666666666667","0,5875","0,01905","0,0511333333333333","0,0053","0,0566666666666667","0,00645","0,164",St 48
"0,227666666666667","0,122333333333333","0,692166666666667","0,0243666666666667","0,0387","0,0125666666666667","0,0340333333333333","0,0176666666666667","0,0967166666666667",St 48
"0,216","0,133","0,702","0,021","0,0343","0,0067","0,0385","0,0207","0,1",St 48
"0,22","0,15","0,71","0,024","0,035","0,02","0,04","0,017","0,1",St 48
"0,166333333333333","0,110666666666667","0,563666666666667","0,0130833333333333","0,0322833333333333","0,005","0,0334666666666667","0,0185333333333333","0,1335",St 48
"0,168","0,121","0,584","0,0124","0,0376","0,005","0,037","0,0199","0,141",St 48
"0,167","0,121","0,553","0,0113","0,0376","0,005","0,0357","0,018","0,138",St 48
"0,17","0,14","0,58","0,014","0,034","0,01","0,04","0,017","0,14",St 48
"0,187","0,127","0,57","0,0135","0,0393","0,005","0,0402","0,0219","0,144",St 48
"0,0380333333333333","0,005","0,345333333333333","0,0182333333333333","0,018","0,0103333333333333","0,0401333333333333","0,002","0,142666666666667",St 37
"0,0374","0,005","0,367","0,0209","0,0219","0,005","0,0453","0,0021","0,152",St 37
"0,04385","0,1175","0,606833333333333","0,0114","0,0343166666666667","0,00513333333333333","0,0354833333333333","0,0214","0,128666666666667",St 37
"0,12","0,128","0,641","0,0152","0,0302","0,005","0,0353","0,0228","0,113",St 37
"0,107","0,129","0,629","0,0136","0,0363","0,005","0,0335","0,0204","0,111",St 37
"0,172","0,128","0,636","0,0153","0,0296","0,005","0,0358","0,0241","0,113",St 37
"0,18","0,14","0,64","0,014","0,028","0,01","0,03","0,019","0,11",St 37
"0,142333333333333","0,109166666666667","0,555","0,0124333333333333","0,0299166666666667","0,0051","0,03215","0,0179166666666667","0,133833333333333",St 48
"0,155","0,12","0,571","0,0138","0,0346","0,005","0,0377","0,0202","0,14",St 48
"0,169","0,118","0,567","0,0119","0,0358","0,005","0,0364","0,0203","0,138",St 48
"0,178","0,121","0,55","0,0148","0,0454","0,005","0,0365","0,0176","0,138",St 48
"0,16","0,13","0,57","0,013","0,031","0,01","0,04","0,017","0,14",St 48
"0,189833333333333","0,113333333333333","0,58","0,0150666666666667","0,0407666666666667","0,005","0,0323666666666667","0,018","0,137833333333333",St 37
"0,2396","0,218","0,5954","0,02262","0,03516","0,00516","0,02818","0,00364","0,0686",St 48
"0,290285714285714","0,307","0,716714285714286","0,0220857142857143","0,0571","0,005","0,0294857142857143","0,0117571428571429","0,0804714285714286",St 48
"0,139","0,005","0,390333333333333","0,01125","0,0255","0,0124333333333333","0,0524666666666667","0,00213333333333333","0,152666666666667",St 37
"0,183333333333333","0,1315","0,554666666666667","0,014","0,0342166666666667","0,00855","0,0313666666666667","0,0259833333333333","0,109833333333333",St 37
"0,191","0,222333333333333","0,648833333333333","0,0326","0,04835","0,005","0,0369833333333333","0,00351666666666667","0,1185",St 48
"0,213333333333333","0,228","0,612833333333333","0,0279333333333333","0,0370333333333333","0,0097","0,0297","0,00248333333333333","0,116666666666667",St 48
"0,23","0,219333333333333","0,475166666666667","0,05115","0,0542","0,0181166666666667","0,02935","0,002","0,108333333333333",St 48
"0,248333333333333","0,247666666666667","0,509666666666667","0,01785","0,0301333333333333","0,005","0,0388833333333333","0,00613333333333333","0,0972833333333333",St 48
"0,261166666666667","0,198666666666667","0,659","0,0371166666666667","0,0683333333333333","0,00591666666666667","0,02695","0,003","0,0739333333333333",St 48
"0,2755","0,226666666666667","0,6965","0,03185","0,0308333333333333","0,005","0,01495","0,00283333333333333","0,0875833333333333",St 48
"0,06865","0,005","0,387833333333333","0,00686666666666667","0,0124333333333333","0,005","0,0281333333333333","0,00878333333333333","0,101366666666667",St 37
"0,07","0,01","0,39","0,007","0,012","0,01","0,03","0,009","0,1",St 37
"0,13","0,01","0,43","0,014","0,032","0,01","0,03","0,004","0,12",St 37
"0,15","0,246","0,61","0,0279","0,0339","0,0052","0,0368","0,004","0,116",St 48
"0,177","0,123","0,577","0,0131","0,0386","0,005","0,0373","0,0191","0,14",St 48
"0,319","0,219","0,618","0,0232","0,0403","0,005","0,0255","0,0027","0,0688",St 48
"0,263","0,243","0,686","0,0305","0,0261","0,005","0,0206","0,0048","0,0878",St 48
"0,148666666666667","0,00553333333333333","0,552166666666667","0,0313166666666667","0,0319166666666667","0,0302833333333333","0,0390333333333333","0,002","0,119",St 48-TH
"0,152","0,0148","0,545","0,0238","0,0218","0,0216","0,0414","0,0024","0,117",St 48-TH
"0,108","0,0097","0,565","0,0254","0,0262","0,0214","0,0431","0,002","0,121",St 48-TH
"0,27","0,02","0,55","0,035","0,032","0,03","0,04","0,001","0,13",St 48-TH
"0,278666666666667","0,243666666666667","0,560666666666667","0,0380333333333333","0,0487","0,0116666666666667","0,0306333333333333","0,00263333333333333","0,108",St 48
"0,0869666666666667","0,005","0,431","0,01425","0,0235333333333333","0,0144833333333333","0,0483166666666667","0,002","0,135666666666667",St 37
"0,0757","0,005","0,429","0,0123","0,0183","0,0077","0,053","0,002","0,137",St 37
"0,0867","0,005","0,443","0,0143","0,0205","0,007","0,0503","0,0021","0,142",St 37
"0,13","0,01","0,48","0,023","0,046","0,02","0,05","0,004","0,15",St 37
"0,271857142857143","0,0963428571428572","0,641","0,0271571428571429","0,0391142857142857","0,00748571428571429","0,0272285714285714","0,0182285714285714","0,0866142857142857",St 48
"0,225333333333333","0,234","0,559833333333333","0,0273","0,0375166666666667","0,0125833333333333","0,0324833333333333","0,00203333333333333","0,1055",St 48
"0,0393333333333333","0,005","0,348166666666667","0,0169833333333333","0,0170833333333333","0,01065","0,0393333333333333","0,002","0,142666666666667",St 37
"0,0418","0,005","0,36","0,0203","0,0214","0,005","0,0432","0,0022","0,148",St 37
"0,07","0,01","0,41","0,05","0,065","0,02","0,05","0,001","0,18",St 37
"0,119333333333333","0,005","0,461166666666667","0,00813333333333333","0,0186333333333333","0,005","0,0294166666666667","0,002","0,0754",St 37
"0,112","0,005","0,465","0,009","0,0164","0,005","0,0338","0,002","0,0761",St 37
"0,119","0,005","0,46","0,0106","0,0184","0,005","0,0342","0,0021","0,077",St 37
"0,18","0,01","0,5","0,015","0,035","0,01","0,04","0,002","0,09",St 37
"0,105","0,005","0,495","0,0123","0,0186","0,005","0,0416","0,002","0,14",St 37
"0,256","0,0931","0,659666666666667","0,0306833333333333","0,0383166666666667","0,0071","0,0271166666666667","0,0174166666666667","0,0877833333333333",St 48
"0,3095","0,2075","0,609","0,0266333333333333","0,0398","0,005","0,0252833333333333","0,00443333333333333","0,06805",St 48
"0,258666666666667","0,241166666666667","0,677166666666667","0,0309166666666667","0,0331666666666667","0,005","0,0179333333333333","0,01065","0,0861833333333333",St 48
"0,0761666666666667","0,005","0,388833333333333","0,0102333333333333","0,02875","0,00691666666666667","0,0396166666666667","0,00455","0,14",St 37
"0,232166666666667","0,182666666666667","0,416333333333333","0,0589666666666667","0,0423166666666667","0,00921666666666667","0,02925","0,002","0,0991",St 48
"0,246833333333333","0,248333333333333","0,6995","0,0152166666666667","0,0490333333333333","0,00671666666666667","0,0250166666666667","0,0045","0,1095",St 48
"0,0807","0,005","0,406","0,0139","0,0278","0,005","0,05","0,0025","0,188",St 37
"0,13","0,01","0,45","0,02","0,058","0,02","0,05","0,001","0,21",St 37
"0,107","0,005","0,524","0,0189","0,0311","0,005","0,0418","0,002","0,145",St 37
"0,267","0,109","0,683","0,0289","0,0373","0,005","0,0311","0,0242","0,0916",St 48
"0,112","0,005","0,461","0,0115","0,0191","0,005","0,0343","0,0025","0,0762",St 37
"0,18","0,01","0,5","0,017","0,043","0,01","0,04","0,002","0,09",St 37
"0,11","0,005","0,488","0,0085","0,021","0,005","0,0333","0,002","0,081",St 37
"0,245","0,0975","0,639","0,033","0,0368","0,005","0,0321","0,0198","0,0872",St 48-TH
"0,255","0,103","0,645","0,0341","0,042","0,005","0,0338","0,0196","0,0879",St 48-TH
"0,24","0,217","0,644","0,0284","0,0414","0,005","0,0294","0,0022","0,0722",St 48
"0,295","0,228","0,68","0,0191","0,0255","0,005","0,0252","0,0032","0,0734",St 48
"0,308","0,27","0,739","0,0187","0,0427","0,005","0,0487","0,0053","0,192",St 48
"0,268","0,204","0,648","0,0188","0,0737","0,005","0,0456","0,0031","0,158",St 48
"0,179","0,17","0,477","0,0071","0,0252","0,005","0,0551","0,002","0,187",St 37
"0,196","0,211","0,728","0,0061","0,0292","0,0084","0,0602","0,0034","0,254",St 48
"0,167","0,198","0,673","0,0036","0,0233","0,0083","0,0566","0,0057","0,239",St 48
"0,253","0,152","0,828","0,0172","0,0515","0,0122","0,0585","0,002","0,211",St 48
"0,334","0,252","0,756","0,0073","0,0288","0,013","0,0538","0,005","0,207",St 48
"0,253","0,263","0,735","0,0276","0,0477","0,0053","0,0391","0,0035","0,17",St 48
"0,235","0,262","0,657","0,0189","0,0391","0,0084","0,0403","0,0024","0,136",St 48
"0,266","0,329","0,649","0,0232","0,034","0,005","0,0293","0,005","0,116",St 48
"0,279","0,209","0,665","0,0177","0,0302","0,0367","0,0605","0,0048","0,143",St 48
"0,0386","0,005","0,45","0,0361","0,0436","0,005","0,0269","0,0061","0,0772",St 37
"0,276","0,199","0,637","0,0192","0,0648","0,005","0,0426","0,0024","0,156",St 48
"0,25","0,2","0,63","0,022","0,057","0,01","0,04","0,002","0,15",St 48
"0,245","0,239","0,688","0,0177","0,0552","0,005","0,0484","0,0056","0,153",St 48
"0,209","0,167","0,471","0,0076","0,0239","0,005","0,0538","0,002","0,189",St 37
"0,21","0,17","0,46","0,011","0,025","0,01","0,05","0,001","0,18",St 37
"0,334","0,246","0,763","0,0097","0,0286","0,013","0,0509","0,0054","0,21",St 48
"0,209","0,193","0,692","0,0066","0,0327","0,009","0,0605","0,0028","0,254",St 48
"0,231","0,186","0,707","0,0057","0,03","0,0088","0,0588","0,0022","0,255",St 48
"0,271","0,248","0,662","0,0266","0,0409","0,0082","0,0392","0,003","0,135",St 48
"0,26","0,247","0,643","0,0258","0,038","0,0087","0,0389","0,0025","0,135",St 48
"0,28","0,25","0,65","0,042","0,047","0,02","0,04","0,002","0,13",St 48
"0,242","0,326","0,641","0,0241","0,0364","0,005","0,0301","0,005","0,117",St 48
"0,282","0,21","0,662","0,0171","0,034","0,0376","0,0618","0,005","0,143",St 48
"0,0164","0,005","0,32","0,0276","0,031","0,005","0,0248","0,0071","0,0809",St 37
"0,312","0,226","0,679","0,011","0,046","0,005","0,112","0,0041","0,17",St 48
"0,137","0,936","0,654","0,023","0,0599","0,005","0,0499","0,0101","0,15",St Si
"0,291","0,0243","0,635","0,0251","0,0339","0,005","0,0353","0,0025","0,0732",St 48-TH
"0,306","0,021","0,634","0,0221","0,0285","0,005","0,0351","0,002","0,0732",St 48-TH
"0,267","0,239","0,68","0,0091","0,0399","0,005","0,109","0,0052","0,168",St 48
"0,305","0,239","0,677","0,0108","0,0446","0,005","0,109","0,0058","0,168",St 48
"0,279","0,172","0,682","0,0035","0,025","0,005","0,0613","0,0071","0,199",St 48
"0,194","0,312","0,925","0,0104","0,0331","0,0071","0,0654","0,0028","0,429",St 48
"0,304","0,289","0,725","0,0176","0,0233","0,005","0,0269","0,0049","0,113",St 48
"0,279","0,238","0,627","0,0186","0,0407","0,005","0,0231","0,0098","0,124",St 48
"0,28","0,22","0,61","0,024","0,023","0,01","0,02","0,01","0,12",St 48
"0,264","0,317","0,647","0,026","0,035","0,005","0,0318","0,0043","0,12",St 48
"0,266","0,205","0,66","0,016","0,0282","0,0372","0,0613","0,0036","0,146",St 48
"0,152","0,005","0,507","0,0117","0,0447","0,005","0,0457","0,0021","0,124",St 37
"0,139","0,893","0,646","0,0211","0,0514","0,005","0,0479","0,0065","0,147",St Si
"0,12","0,86","0,61","0,025","0,042","0,02","0,05","0,005","0,14",St Si
"0,315","0,226","0,679","0,0147","0,0463","0,005","0,112","0,0054","0,169",St 48
"0,336","0,0232","0,654","0,0269","0,0341","0,005","0,0363","0,0022","0,0732",St 48-TH
"0,324","0,0251","0,644","0,0273","0,0279","0,005","0,0356","0,0038","0,0729",St 48-TH
"0,292","0,244","0,676","0,0121","0,0457","0,005","0,111","0,0067","0,167",St 48
"0,262","0,235","0,676","0,0086","0,0447","0,005","0,11","0,0053","0,167",St 48
"0,218","0,162","0,451","0,0067","0,0251","0,005","0,0565","0,002","0,188",St 48
"0,179","0,284","0,903","0,0103","0,0333","0,0077","0,0632","0,002","0,413",St 48
"0,285","0,293","0,707","0,0194","0,0243","0,005","0,0259","0,0052","0,112",St 48
"0,256","0,259","0,675","0,022","0,0289","0,005","0,0288","0,0035","0,114",St 48
"0,263","0,332","0,637","0,0236","0,0271","0,005","0,0303","0,0039","0,119",St 48
"0,227","0,21","0,644","0,0187","0,0333","0,0362","0,0668","0,0041","0,154",St 48
"0,261","0,179","0,61","0,0201","0,056","0,005","0,0429","0,0022","0,146",St 48
"0,245","0,243","0,66","0,0155","0,0674","0,005","0,0465","0,0053","0,145",St 48
"0,314","0,203","0,646","0,0187","0,0355","0,0292","0,0933","0,002","0,16",St 48
"0,33","0,21","0,671","0,0197","0,0481","0,0286","0,0918","0,0024","0,164",St 48
"0,361","0,252","0,716","0,0098","0,0402","0,0138","0,0529","0,0055","0,197",St 48
"0,339","0,207","0,672","0,0197","0,0493","0,029","0,0935","0,0021","0,163",St 48
"0,261","0,23","0,683","0,0255","0,0399","0,0086","0,0393","0,002","0,159",St 48
"0,271","0,257","0,631","0,0218","0,0454","0,0104","0,0387","0,0023","0,129",St 48
"0,22","0,26","0,64","0,023","0,033","0,02","0,04","0,003","0,12",St 48
"0,239","0,325","0,629","0,0234","0,0342","0,005","0,0321","0,0043","0,113",St 48
"0,26","0,205","0,649","0,0191","0,0401","0,0401","0,0616","0,0034","0,14",St 48
"0,0497","0,005","0,431","0,0382","0,0454","0,0074","0,0268","0,0065","0,0754",St 37
"0,255","0,194","0,625","0,019","0,0683","0,005","0,0434","0,002","0,15",St 48
"0,236","0,181","0,632","0,0216","0,0658","0,005","0,0432","0,002","0,151",St 48
"0,196","0,175","0,464","0,0064","0,0263","0,005","0,0602","0,002","0,198",St 37
"0,197","0,176","0,466","0,0064","0,0261","0,005","0,0518","0,002","0,182",St 37
"0,103","0,417","1,49","0,0248","0,0454","0,0218","0,0691","0,002","0,423",St 48
"0,258","0,206","0,711","0,0132","0,0438","0,037","0,0642","0,004","0,197",St 48
"0,262","0,204","0,707","0,0113","0,0469","0,0368","0,0638","0,0038","0,196",St 48
"0,262","0,255","0,693","0,0214","0,0326","0,0058","0,0384","0,0024","0,158",St 48
"0,153","0,207","0,657","0,0179","0,0362","0,0391","0,0622","0,0041","0,139",St 48
"0,209","0,322","0,624","0,0219","0,0304","0,005","0,0311","0,0051","0,112",St 48
"0,0211","0,005","0,389","0,0256","0,0245","0,005","0,0255","0,0056","0,0688",St 37
"0,228333333333333","0,00503333333333333","0,784","0,02575","0,0299333333333333","0,005","0,0329166666666667","0,0021","0,0513833333333333",St 48-TH
"0,243333333333333","0,166166666666667","0,703166666666667","0,0121","0,0347","0,02985","0,0610166666666667","0,00246666666666667","0,190333333333333",St 48
"0,167","0,237","0,762333333333333","0,01345","0,03515","0,0145","0,0607166666666667","0,00215","0,366833333333333",St 48
"0,222333333333333","0,165833333333333","0,694833333333333","0,0109666666666667","0,0241","0,0295166666666667","0,0618","0,00203333333333333","0,193",St 48
"0,247333333333333","0,267166666666667","0,5215","0,0160166666666667","0,0380666666666667","0,04385","0,0661666666666667","0,00351666666666667","0,11",St 48
"0,296","0,251666666666667","0,586666666666667","0,0104166666666667","0,0329833333333333","0,005","0,0351333333333333","0,00263333333333333","0,168",St 48
"0,0997333333333333","0,005","0,529666666666667","0,00908333333333333","0,0309166666666667","0,00963333333333333","0,0384833333333333","0,00235","0,0903666666666667",St 37
"0,218833333333333","0,341166666666667","0,509833333333333","0,0181666666666667","0,0291166666666667","0,0110166666666667","0,0286","0,00285","0,111333333333333",St 48
"0,196166666666667","0,270166666666667","0,875","0,01335","0,0263333333333333","0,0140666666666667","0,0561","0,002","0,359333333333333",St 48
"0,193","0,2525","0,8385","0,0106625","0,0229","0,0152","0,0572375","0,002","0,359125",St 48
"0,375166666666667","0,0128","0,605166666666667","0,0321","0,02345","0,005","0,0300166666666667","0,002","0,0662",St 48-TH
"0,3103","0,0264","0,6211","0,0464","0,0373","0,0091","0,0359","0,0023","0,0707",St 48-TH
"0,260333333333333","0,263666666666667","0,509166666666667","0,0157166666666667","0,0330666666666667","0,0423833333333333","0,0622666666666667","0,0045","0,108",St 48
"0,0572444444444444","0,005","0,430888888888889","0,0119222222222222","0,0197777777777778","0,0216888888888889","0,0467444444444445","0,00212222222222222","0,164222222222222",St 37
"0,0542","0,005","0,429","0,0079","0,0186","0,0131","0,0526","0,0021","0,169",St 37
"0,0558","0,005","0,445","0,0084","0,0182","0,0132","0,0506","0,002","0,174",St 37
"0,09","0,01","0,49","0,02","0,059","0,03","0,06","0,001","0,21",St 37
"0,09405","0,005","0,465","0,0135833333333333","0,03725","0,0101833333333333","0,04215","0,002","0,0883333333333333",St 37
"0,217833333333333","0,277833333333333","0,444833333333333","0,0236333333333333","0,0387333333333333","0,0112833333333333","0,0299166666666667","0,00421666666666667","0,164166666666667",St 48
"0,2368","0,1524","0,7212","0,04532","0,0711","0,03792","0,04838","0,0026","0,1698",St 48
"0,247833333333333","0,248833333333333","0,436666666666667","0,01675","0,0360833333333333","0,0124333333333333","0,0378833333333333","0,00246666666666667","0,140666666666667",St 48
"0,176333333333333","0,158","0,643833333333333","0,0145","0,0321833333333333","0,0367833333333333","0,0554833333333333","0,002","0,186",St 48
"0,3238","0,282","0,651","0,0232","0,02994","0,03838","0,06034","0,002","0,118",St 48
"0,312","0,221333333333333","0,677","0,0068","0,0279333333333333","0,0100833333333333","0,0598333333333333","0,00381666666666667","0,231",St 48
"0,344","0,2495","0,7063","0,0067","0,0381","0,0156","0,0673","0,0062","0,2522",St 48
"0,276333333333333","0,255833333333333","0,652166666666667","0,0216666666666667","0,0262166666666667","0,00501666666666667","0,02455","0,00588333333333333","0,101233333333333",St 48
"0,272","0,276666666666667","0,577166666666667","0,0106833333333333","0,0394333333333333","0,00515","0,0378166666666667","0,00281666666666667","0,174",St 48
"0,0403166666666667","0,005","0,342666666666667","0,00573333333333333","0,0172833333333333","0,00993333333333333","0,0866","0,00216666666666667","0,1395",St 37
"0,09","0,01","0,46","0,01","0,042","0,02","0,06","0,001","0,17",St 37
"0,04","0,01","0,34","0,01","0,02","0,01","0,09","0,002","0,14",St 37
